player,position,team,week,season,knn_fps
DeVonta Smith,WR,PHI,1,2025,4.4
Josh Downs,WR,IND,1,2025,4.3
Josh Reynolds,WR,NYJ,1,2025,4.3
Cooper Kupp,WR,SEA,1,2025,4.1
Dontayvion Wicks,WR,GB,1,2025,3.8
Jalen Tolbert,WR,DAL,1,2025,3.8
Tyler Conklin,TE,LAC,1,2025,3.8
Dee Eskridge,WR,MIA,1,2025,3.5
Gunnar Helm,TE,TEN,1,2025,3.4
Jaylin Lane,WR,WAS,1,2025,3.3
Xavier Hutchinson,WR,HOU,1,2025,3.2
Adonai Mitchell,WR,IND,1,2025,3.2
Colby Parkinson,TE,LA,1,2025,3.2
Hunter Long,TE,JAX,1,2025,3.2
Nick Westbrook-Ikhine,WR,MIA,1,2025,3.2
Lucas Krull,TE,DEN,1,2025,3.2
KeAndre Lambert-Smith,WR,LAC,1,2025,3.1
Tyler Johnson,WR,NYJ,1,2025,3.1
Dawson Knox,TE,BUF,1,2025,3
Elijah Higgins,TE,ARI,1,2025,3
KaVontae Turpin,WR,DAL,1,2025,3
Mack Hollins,WR,NE,1,2025,2.9
Colston Loveland,TE,CHI,1,2025,2.9
Justin Watson,WR,HOU,1,2025,2.9
Matthew Golden,WR,GB,1,2025,2.9
Jeremy Ruckert,TE,NYJ,1,2025,2.8
KhaDarel Hodge,WR,ATL,1,2025,2.8
Jaylin Noel,WR,HOU,1,2025,2.8
AJ Barner,TE,SEA,1,2025,2.8
Jason Brownlee,WR,KC,1,2025,2.7
Isaac TeSlaa,WR,DET,1,2025,2.6
Daniel Bellinger,TE,NYG,1,2025,2.6
Jackson Hawes,TE,BUF,1,2025,2.5
Xavier Smith,WR,LA,1,2025,2.4
Chris Moore,WR,WAS,1,2025,2
Mason Taylor,TE,NYJ,1,2025,1.9
Austin Hooper,TE,NE,1,2025,1.8
Tyler Lockett,WR,TEN,1,2025,1.8
Kyle Williams,WR,NE,1,2025,1.8
Jack Bech,WR,LV,1,2025,1.8
Darius Slayton,WR,NYG,1,2025,1.8
Luke Schoonmaker,TE,DAL,1,2025,1.8
Chimere Dike,WR,TEN,1,2025,1.7
Ryan Miller,WR,TB,1,2025,1.7
Tez Johnson,WR,TB,1,2025,1.6
Brevyn Spann-Ford,TE,DAL,1,2025,1.6
Noah Gray,TE,KC,1,2025,1.5
Tip Reiman,TE,ARI,1,2025,1.5
Drew Sample,TE,CIN,1,2025,1.5
Elijah Arroyo,TE,SEA,1,2025,1.5
Ben Skowronek,WR,PIT,1,2025,1.5
A.J. Brown,WR,PHI,1,2025,1.5
Trent Sherfield,WR,DEN,1,2025,1.5
Will Dissly,TE,LAC,1,2025,1.5
Adam Trautman,TE,DEN,1,2025,1.5
Savion Williams,WR,GB,1,2025,1.5
Mark Andrews,TE,BAL,1,2025,1.5
Kylen Granson,TE,PHI,1,2025,1.5
Mo Alie-Cox,TE,IND,1,2025,1.5
Tutu Atwell,WR,LA,1,2025,1.4
Tre Harris,WR,LAC,1,2025,1.4
Greg Dortch,WR,ARI,1,2025,1.4
Bryce Oliver,WR,TEN,1,2025,1.4
Alex Bachman,WR,LV,1,2025,1.4
Johnny Mundt,TE,JAX,1,2025,1.4
Luke Musgrave,TE,GB,1,2025,1.4
John FitzPatrick,TE,GB,1,2025,1.4
Jamari Thrash,WR,CLE,1,2025,1.4
Xavier Worthy,WR,KC,1,2025,1.4
Adam Thielen,WR,MIN,1,2025,1.4
Elijah Moore,WR,BUF,1,2025,1.4
Josh Oliver,TE,MIN,1,2025,1.3
Zay Jones,WR,ARI,1,2025,1.3
Isaiah Bond,WR,CLE,1,2025,1.3
Luke Farrell,TE,SF,1,2025,1.3
Luther Burden III,WR,CHI,1,2025,1.2
Tommy Tremble,TE,CAR,1,2025,1.2
Drake Maye,QB,NE,1,2025,NA
