season,week,player,carries,goal_line_carry,rush_yards,rush_touchdowns,targets,air_yards,knn_rush_fps,knn_rec_fps,knn_fps,actual_fps,Team
2025,1,Raheim Sanders,3,2,3,1,0,0,3.6,0.0,3.6,6.3,CLE
2025,1,Rhamondre Stevenson,7,1,15,0,3,3,4.0,4.2,8.2,4.7,NE
2025,1,Dare Ogunbowale,2,0,9,0,2,5,1.1,2.8,3.8,4.6,HOU
2025,1,Tyler Allgeier,10,2,24,0,0,0,7.0,0.0,7.0,2.4,ATL
2025,1,Chase Brown,21,2,43,1,3,0,13.9,4.9,18.8,13.1,CIN
2025,1,Chris Brooks,1,0,1,0,1,2,0.5,1.7,2.3,1.3,GB
2025,1,Josh Jacobs,19,3,66,1,1,1,12.9,1.6,14.5,14.0,GB
2025,1,Derrick Henry,18,0,169,2,1,5,10.0,1.6,11.6,31.2,BAL
2025,1,Kenneth Walker III,10,1,20,0,3,-9,6.1,4.3,10.3,5.4,SEA
2025,1,Jonathan Taylor,18,2,71,0,3,-2,13.5,4.2,17.7,12.8,IND
2025,1,Miles Sanders,4,0,53,0,1,-5,2.1,1.3,3.4,6.0,DAL
2025,1,Ollie Gordon II,2,1,4,0,1,-5,1.1,1.4,2.5,1.3,MIA
2025,1,Jerome Ford,6,2,8,0,1,-5,5.8,1.4,7.2,1.5,CLE
2025,1,Kaleb Johnson,1,0,-2,0,0,0,0.5,0.0,0.5,-0.2,PIT
2025,1,Alec Ingold,0,0,0,0,2,11,0.0,2.7,2.7,1.1,MIA
2025,1,Ray Davis,1,0,2,0,1,-7,0.4,1.8,2.1,1.1,BUF
2025,1,Najee Harris,1,0,5,0,1,5,0.5,1.4,1.9,2.0,LAC
2025,1,D'Andre Swift,17,1,53,0,5,-3,9.8,7.0,16.8,9.5,CHI
2025,1,TreVeyon Henderson,5,0,27,0,6,-19,2.6,8.7,11.3,11.1,NE
2025,1,Ashton Jeanty,19,1,38,1,2,-4,11.8,2.7,14.5,12.0,LV
2025,1,Zach Charbonnet,12,3,47,1,0,0,9.6,0.0,9.6,10.7,SEA
2025,1,De'Von Achane,7,0,55,0,4,-3,3.4,5.9,9.2,16.5,MIA
2025,1,Jahmyr Gibbs,9,1,19,0,10,0,5.1,14.7,19.7,15.0,DET
2025,1,Isaiah Davis,2,0,18,0,0,0,1.1,0.0,1.1,1.8,NYJ
2025,1,Kareem Hunt,5,0,16,0,3,-2,2.7,4.2,6.9,4.6,KC
2025,1,Julius Chestnut,2,1,2,0,0,0,2.1,0.0,2.1,0.2,TEN
2025,1,RJ Harvey,6,0,70,0,1,-2,3.2,1.4,4.6,7.9,DEN
2025,1,Nick Chubb,13,0,60,0,1,5,6.3,1.5,7.8,6.0,HOU
2025,1,Javonte Williams,15,2,54,2,3,3,11.2,4.0,15.2,20.4,DAL
2025,1,Kyle Monangai,0,0,0,0,1,5,0.0,1.5,1.5,2.1,CHI
2025,1,Rasheen Ali,1,0,5,0,0,0,0.7,0.0,0.7,0.5,BAL
2025,1,Rachaad White,2,0,14,0,1,-3,1.2,1.6,2.8,2.6,TB
2025,1,Brian Robinson,9,0,33,0,2,0,4.3,2.8,7.1,4.7,SF
2025,1,James Conner,12,1,39,0,4,-15,9.6,7.2,16.8,14.4,ARI
2025,1,Breece Hall,19,1,107,0,4,-13,9.0,5.5,14.4,16.5,NYJ
2025,1,Justice Hill,2,0,-14,0,2,-2,1.2,3.0,4.2,-0.1,BAL
2025,1,Antonio Gibson,1,0,3,0,1,4,0.4,1.4,1.8,0.3,NE
2025,1,Dylan Sampson,12,1,29,0,8,-25,6.7,11.2,17.9,17.3,CLE
2025,1,Jordan Mason,15,0,68,0,1,-5,8.1,1.3,9.5,8.5,MIN
2025,1,Austin Ekeler,6,0,26,0,3,-7,4.1,4.3,8.4,8.7,WAS
